epci_siren,epci_nom,epci_type,code_commune,nom_commune
200043263,CC Coeur de l'Avesnois,CC,59078,Beugnies
200043263,CC Coeur de l'Avesnois,CC,59093,Boulogne-sur-Helpe
200043263,CC Coeur de l'Avesnois,CC,59134,Cartignies
200043263,CC Coeur de l'Avesnois,CC,59147,Choisies
200043263,CC Coeur de l'Avesnois,CC,59148,Clairfayts
200043263,CC Coeur de l'Avesnois,CC,59169,Damousies
200043263,CC Coeur de l'Avesnois,CC,59174,Dimechaux
200043263,CC Coeur de l'Avesnois,CC,59175,Dimont
200043263,CC Coeur de l'Avesnois,CC,59177,Dompierre-sur-Helpe
200043263,CC Coeur de l'Avesnois,CC,59181,Dourlers
200043263,CC Coeur de l'Avesnois,CC,59186,Eccles
200043263,CC Coeur de l'Avesnois,CC,59218,Étrœungt
200043263,CC Coeur de l'Avesnois,CC,59226,Felleries
200043263,CC Coeur de l'Avesnois,CC,59233,Flaumont-Waudrechies
200043263,CC Coeur de l'Avesnois,CC,59240,Floursies
200043263,CC Coeur de l'Avesnois,CC,59241,Floyon
200043263,CC Coeur de l'Avesnois,CC,59270,Grand-Fayt
200043263,CC Coeur de l'Avesnois,CC,59290,Haut-Lieu
200043263,CC Coeur de l'Avesnois,CC,59306,Hestrud
200043263,CC Coeur de l'Avesnois,CC,59333,Larouillies
200043263,CC Coeur de l'Avesnois,CC,59342,Lez-Fontaine
200043263,CC Coeur de l'Avesnois,CC,59347,Liessies
200043263,CC Coeur de l'Avesnois,CC,59374,Marbaix
200043263,CC Coeur de l'Avesnois,CC,59461,Petit-Fayt
200043263,CC Coeur de l'Avesnois,CC,59474,Prisches
200043263,CC Coeur de l'Avesnois,CC,59490,Rainsars
200043263,CC Coeur de l'Avesnois,CC,59493,Ramousies
200043263,CC Coeur de l'Avesnois,CC,59525,Sains-du-Nord
200043263,CC Coeur de l'Avesnois,CC,59529,Saint-Aubin
200043263,CC Coeur de l'Avesnois,CC,59534,Saint-Hilaire-sur-Helpe
200043263,CC Coeur de l'Avesnois,CC,59555,Sars-Poteries
200043263,CC Coeur de l'Avesnois,CC,59562,Sémeries
200043263,CC Coeur de l'Avesnois,CC,59563,Semousies
200043263,CC Coeur de l'Avesnois,CC,59572,Solre-le-Château
200043263,CC Coeur de l'Avesnois,CC,59573,Solrinnes
200043263,CC Coeur de l'Avesnois,CC,59583,Taisnières-en-Thiérache
200043263,CC Coeur de l'Avesnois,CC,59649,Wattignies-la-Victoire
200043321,CC du Pays de Mormal,CC,59031,Audignies
200043321,CC du Pays de Mormal,CC,59053,Bavay
200043321,CC du Pays de Mormal,CC,59057,Beaudignies
200043321,CC du Pays de Mormal,CC,59065,Bellignies
200043321,CC du Pays de Mormal,CC,59077,Bettrechies
200043321,CC du Pays de Mormal,CC,59099,Bousies
200043321,CC du Pays de Mormal,CC,59116,Bry
