code_commune,nom_commune,epci_nom,categorie_priorite,score_fragilite,nb_commerces_manquants,liste_manquants
59532,SAINT GEORGES SUR L'AA,CU de Dunkerque,Priorité B,44.47,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59533,SAINT-HILAIRE-LEZ-CAMBRAI,CA du Caudrésis et du Catésis,Priorité B,50.27,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59537,SAINT-MARTIN-SUR-ECAILLON,CC du Pays Solesmois,Priorité B,45.14,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59538,SAINT-MOMELIN,CC des Hauts de Flandre,Priorité B,55.98,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59547,SAINT-VAAST-EN-CAMBRESIS,CA du Caudrésis et du Catésis,Priorité B,51.23,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59551,SAMEON,CC Pévèle-Carembault,Priorité B,46.96,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59556,SASSEGNIES,CA Maubeuge Val de Sambre,Priorité B,55.29,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59568,SERCUS,CA Coeur de Flandre,Priorité B,48.78,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59569,SIN-LE-NOBLE,CA Douaisis Agglo,Priorité B,51.48,3,"Tabac-Presse, Coiffeur, Bar-Café"
59571,SOLESMES,CC du Pays Solesmois,Priorité B,50.87,3,"Boulangerie, Coiffeur, Bar-Café"
59574,SOMAIN,CA Coeur d'Ostrevent,Priorité B,51.32,3,"Boulangerie, Coiffeur, Bar-Café"
59579,STEENE,CC des Hauts de Flandre,Priorité B,44.58,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
