code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59088,BOIS-GRENIER,Métropole Européenne de Lille,1775.0,6.66,62,28,34,54.83870967741935,15.774647887323944,-6,13.71,0.15,21.36,4.34,39.56,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59089,BOLLEZEELE,CC des Hauts de Flandre,1445.0,12.92,45,20,25,55.55555555555556,13.840830449826989,-5,13.89,0.14,21.81,8.42,44.26,Q2-Stable,0.0,Dynamique,Non prioritaire
59090,BONDUES,Métropole Européenne de Lille,9747.0,7.43,471,174,297,63.05732484076433,17.851646660510927,-123,15.76,0.88,20.88,4.84,42.37,Q2-Stable,0.0,Dynamique,Non prioritaire
59091,BORRE,CA Coeur de Flandre,553.0,5.05,13,9,4,30.76923076923077,16.274864376130196,5,7.69,0.08,21.25,3.29,32.31,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59092,BOUCHAIN,CA de la Porte du Hainaut,4113.0,15.07,124,55,69,55.64516129032258,13.372234378798929,-14,13.91,0.2,21.92,9.82,45.85,Q3-Fragilisé,1.0,Précaire,Non prioritaire
59093,BOULOGNE-SUR-HELPE,CC Coeur de l'Avesnois,291.0,12.98,4,1,3,75.0,3.436426116838488,-2,18.75,0.12,24.21,8.46,51.54,Q4-Fragile,3.0,Désertifié,Priorité B
59094,BOURBOURG,CU de Dunkerque,6931.0,13.48,256,117,139,54.296875,16.880680998412927,-22,13.57,0.25,21.11,8.78,43.71,Q2-Stable,0.0,Dynamique,Non prioritaire
59096,BOURGHELLES,CC Pévèle-Carembault,1682.0,7.2,43,18,25,58.13953488372093,10.70154577883472,-7,14.53,0.16,22.53,4.69,41.91,Q2-Stable,3.0,Désertifié,Non prioritaire
59097,BOURSIES,CA de Cambrai,360.0,13.05,12,8,4,33.33333333333333,22.22222222222222,4,8.33,0.09,19.88,8.5,36.8,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59098,BOUSBECQUE,Métropole Européenne de Lille,4978.0,7.66,106,43,63,59.43396226415094,8.638007231820009,-20,14.86,0.24,23.01,4.99,43.09,Q2-Stable,3.0,Désertifié,Non prioritaire
59099,BOUSIES,CC du Pays de Mormal,1769.0,11.06,63,28,35,55.55555555555556,15.828151498021482,-7,13.89,0.16,21.35,7.21,42.6,Q2-Stable,0.0,Dynamique,Non prioritaire
59100,BOUSIGNIES,CA de la Porte du Hainaut,339.0,8.25,5,1,4,80.0,2.949852507374631,-3,20.0,0.13,24.32,5.38,49.83,Q4-Fragile,3.0,Désertifié,Priorité B
59101,BOUSIGNIES-SUR-ROC,CA Maubeuge Val de Sambre,369.0,10.82,8,2,6,75.0,5.420054200542006,-4,18.75,0.14,23.75,7.05,49.69,Q4-Fragile,3.0,Désertifié,Priorité B
59102,BOUSSIERES-EN-CAMBRESIS,CA du Caudrésis et du Catésis,436.0,14.21,10,6,4,40.0,13.761467889908255,2,10.0,0.1,21.83,9.26,41.19,Q2-Stable,0.0,Dynamique,Non prioritaire
59103,BOUSSIERES-SUR-SAMBRE,CA Maubeuge Val de Sambre,522.0,13.45,7,3,4,57.14285714285714,5.747126436781609,-1,14.29,0.12,23.67,8.76,46.84,Q3-Fragilisé,3.0,Désertifié,Priorité B
59104,BOUSSOIS,CA Maubeuge Val de Sambre,3123.0,15.6,94,49,45,47.87234042553192,15.69004162664105,4,11.97,0.09,21.38,10.16,43.6,Q2-Stable,0.0,Dynamique,Non prioritaire
