code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59124,CAMPHIN-EN-PEVELE,200041960,CC Pévèle-Carembault,CC,2518.0,6.17,,58,25,33,56.896551724137936,9.928514694201748
59125,CANTAING-SUR-ESCAUT,200068500,CA de Cambrai,CA,410.0,12.14,,6,3,3,50.0,7.317073170731708
59126,CANTIN,200044618,CA Douaisis Agglo,CA,1741.0,13.01,,35,11,24,68.57142857142857,6.318207926479035
59128,CAPINGHEM,200093201,Métropole Européenne de Lille,METRO,2728.0,9.14,8530.0,102,43,59,57.84313725490197,15.762463343108504
59129,CAPPELLE-EN-PEVELE,200041960,CC Pévèle-Carembault,CC,2257.0,4.89,,43,22,21,48.837209302325576,9.74745237040319
59130,CAPPELLE-BROUCK,200040954,CC des Hauts de Flandre,CC,1169.0,9.59,,22,11,11,50.0,9.409751924721984
59131,CAPPELLE-LA-GRANDE,245900428,CU de Dunkerque,CU,7839.0,16.61,8810.0,194,97,97,50.0,12.374027299400433
59132,CARNIERES,200030633,CA du Caudrésis et du Catésis,CA,983.0,13.64,,29,13,16,55.172413793103445,13.224821973550355
59133,CARNIN,200093201,Métropole Européenne de Lille,METRO,1105.0,5.53,,17,10,7,41.17647058823529,9.049773755656108
59134,CARTIGNIES,200043263,CC Coeur de l'Avesnois,CC,1209.0,13.25,,35,16,19,54.285714285714285,13.234077750206781
59135,CASSEL,200040947,CA Coeur de Flandre,CA,2198.0,10.99,9180.0,86,32,54,62.7906976744186,14.558689717925388
59136,LE CATEAU-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,6764.0,29.48,6170.0,344,140,204,59.30232558139535,20.69781194559432
59137,CATILLON-SUR-SAMBRE,200030633,CA du Caudrésis et du Catésis,CA,781.0,15.69,,27,12,15,55.55555555555556,15.364916773367478
59138,CATTENIERES,200030633,CA du Caudrésis et du Catésis,CA,689.0,9.24,,23,11,12,52.17391304347826,15.965166908563136
59139,CAUDRY,200030633,CA du Caudrésis et du Catésis,CA,13833.0,26.26,6780.0,728,287,441,60.57692307692307,20.74748789127449
